year,region,incidents,fatalities,population,urban_rural
2010,Greater Accra,12400,2050,4010000,Urban
2010,Ashanti,9800,1800,4830000,Urban
2010,Eastern,6100,950,2580000,Urban
2010,Central,5400,820,2300000,Urban
2010,Western,5800,870,2370000,Urban
2010,Western North,3200,520,850000,Rural
2010,Volta,4200,610,2100000,Rural
2010,Oti,2800,450,750000,Rural
2010,Northern,3900,740,2940000,Rural
2010,Savannah,2600,480,600000,Rural
2010,North East,2400,430,520000,Rural
2010,Upper East,3000,560,1050000,Rural
2010,Upper West,2700,500,700000,Rural
2010,Bono,4500,780,1200000,Urban
2010,Bono East,4100,720,980000,Urban
2010,Ahafo,3600,650,900000,Rural
2011,Greater Accra,12700,2100,4050000,Urban
2011,Ashanti,10000,1850,4870000,Urban
2011,Eastern,6300,970,2620000,Urban
2011,Central,5600,840,2340000,Urban
2011,Western,6000,890,2400000,Urban
2011,Western North,3300,540,870000,Rural
2011,Volta,4300,620,2120000,Rural
2011,Oti,2900,460,770000,Rural
2011,Northern,4000,760,2980000,Rural
2011,Savannah,2700,500,620000,Rural
2011,North East,2500,450,540000,Rural
2011,Upper East,3100,570,1070000,Rural
2011,Upper West,2800,510,720000,Rural
2011,Bono,4600,790,1220000,Urban
2011,Bono East,4200,730,1000000,Urban
2011,Ahafo,3700,660,920000,Rural
2012,Greater Accra,13100,2180,4150000,Urban
2012,Ashanti,10200,1900,4950000,Urban
2012,Eastern,6500,,2660000,Urban
2012,Central,5800,860,2360000,Urban
2012,Western,6200,920,2430000,Urban
2012,Western North,3400,560,890000,Rural
2012,Volta,4400,650,2150000,Rural
2012,Oti,3000,470,790000,Rural
2012,Northern,4200,780,3020000,Rural
2012,Savannah,2800,520,640000,Rural
2012,North East,2600,470,560000,Rural
2012,Upper East,3200,580,1090000,Rural
2012,Upper West,2900,530,740000,Rural
2012,Bono,4700,810,1240000,Urban
2012,Bono East,4300,750,1020000,Urban
2012,Ahafo,3800,680,940000,Rural
2013,Greater Accra,13400,2250,4200000,Urban
2013,Ashanti,10500,1950,5000000,Urban
2013,Eastern,6700,1000,2700000,Urban
2013,Central,6000,880,2380000,Urban
2013,Western,6400,940,2460000,Urban
2013,Western North,3500,580,910000,Rural
2013,Volta,4600,670,2180000,Rural
2013,Oti,3100,480,810000,Rural
2013,Northern,4300,800,3060000,Rural
2013,Savannah,2900,540,660000,Rural
2013,North East,2700,490,580000,Rural
2013,Upper East,3400,600,1110000,Rural
2013,Upper West,3000,550,760000,Rural
2013,Bono,4800,830,1260000,Urban
2013,Bono East,4400,770,1040000,Urban
2013,Ahafo,3900,700,960000,Rural
2014,Greater Accra,13800,2300,4350000,Urban
2014,Ashanti,10800,1980,5100000,Urban
2014,Eastern,6900,1020,2740000,Urban
2014,Central,5900,900,2420000,Urban
2014,Western,6600,960,2480000,Urban
2014,Western North,3600,600,930000,Rural
2014,Volta,4700,690,2200000,Rural
2014,Oti,3200,490,830000,Rural
2014,Northern,4500,820,3100000,Rural
2014,Savannah,3000,560,680000,Rural
2014,North East,2800,510,600000,Rural
2014,Upper East,3500,620,1130000,Rural
2014,Upper West,3100,570,780000,Rural
2014,Bono,4900,850,1280000,Urban
2014,Bono East,4500,790,1060000,Urban
2014,Ahafo,4000,720,980000,Rural
2015,Greater Accra,14100,2380,4400000,Urban
2015,Ashanti,11000,2030,5150000,Urban
2015,Eastern,7100,1050,2780000,Urban
2015,Central,6100,920,2460000,Urban
2015,Western,6800,980,2500000,Urban
2015,Western North,3700,620,950000,Rural
2015,Volta,4900,710,2220000,Rural
2015,Oti,3300,500,850000,Rural
2015,Northern,4700,840,3140000,Rural
2015,Savannah,3100,580,700000,Rural
2015,North East,2900,520,620000,Rural
2015,Upper East,3600,640,1150000,Rural
2015,Upper West,3200,590,800000,Rural
2015,Bono,5000,870,1300000,Urban
2015,Bono East,4600,810,1080000,Urban
2015,Ahafo,4100,740,1000000,Rural
2016,Greater Accra,14400,2450,4450000,Urban
2016,Ashanti,11200,2080,5200000,Urban
2016,Eastern,7300,1080,2820000,Urban
2016,Central,6300,940,2500000,Urban
2016,Western,7000,1000,2520000,Urban
2016,Western North,3800,640,970000,Rural
2016,Volta,5100,730,2240000,Rural
2016,Oti,3400,510,870000,Rural
2016,Northern,4900,860,3180000,Rural
2016,Savannah,3200,600,720000,Rural
2016,North East,3000,530,640000,Rural
2016,Upper East,3700,660,1170000,Rural
2016,Upper West,3300,600,820000,Rural
2016,Bono,5100,890,1320000,Urban
2016,Bono East,4700,830,1100000,Urban
2016,Ahafo,4200,760,1020000,Rural
2017,Greater Accra,14700,2530,4500000,Urban
2017,Ashanti,11400,2130,5250000,Urban
2017,Eastern,7500,1110,2860000,Urban
2017,Central,6500,960,2540000,Urban
2017,Western,7200,1020,2540000,Urban
2017,Western North,3900,660,990000,Rural
2017,Volta,5300,750,2260000,Rural
2017,Oti,3500,520,890000,Rural
2017,Northern,5100,880,3220000,Rural
2017,Savannah,3300,620,740000,Rural
2017,North East,3100,550,660000,Rural
2017,Upper East,3800,680,1190000,Rural
2017,Upper West,3400,610,840000,Rural
2017,Bono,5200,910,1340000,Urban
2017,Bono East,4800,850,1120000,Urban
2017,Ahafo,4300,780,1040000,Rural
2018,Greater Accra,15000,2550,4750000,Urban
2018,Ashanti,11800,2150,5400000,Urban
2018,Eastern,7600,1180,2900000,Urban
2018,Central,6700,980,2550000,Urban
2018,Western,7400,1040,2570000,Urban
2018,Western North,4000,680,1010000,Rural
2018,Volta,5500,770,2280000,Rural
2018,Oti,3600,530,910000,Rural
2018,Northern,5300,900,3260000,Rural
2018,Savannah,3400,640,760000,Rural
2018,North East,3200,570,680000,Rural
2018,Upper East,3900,700,1210000,Rural
2018,Upper West,3500,620,860000,Rural
2018,Bono,5300,930,1360000,Urban
2018,Bono East,4900,870,1140000,Urban
2018,Ahafo,4400,800,1060000,Rural
2019,Greater Accra,15300,2630,4800000,Urban
2019,Ashanti,12000,2200,5450000,Urban
2019,Eastern,7800,1210,2940000,Urban
2019,Central,6900,1000,2580000,Urban
2019,Western,7600,1060,2600000,Urban
2019,Western North,4100,700,1030000,Rural
2019,Volta,5700,790,2300000,Rural
2019,Oti,3700,540,930000,Rural
2019,Northern,5500,920,3300000,Rural
2019,Savannah,3500,660,780000,Rural
2019,North East,3300,590,700000,Rural
2019,Upper East,4000,720,1230000,Rural
2019,Upper West,3600,630,880000,Rural
2019,Bono,5400,950,1380000,Urban
2019,Bono East,5000,890,1160000,Urban
2019,Ahafo,4500,820,1080000,Rural
2020,Greater Accra,15800,2700,4950000,Urban
2020,Ashanti,12400,2250,5550000,Urban
2020,Eastern,8000,1250,2980000,Urban
2020,Central,6700,1020,2620000,Urban
2020,Western,7800,1080,2630000,Urban
2020,Western North,4200,720,1050000,Rural
2020,Volta,5900,810,2320000,Rural
2020,Oti,3800,550,950000,Rural
2020,Northern,5700,940,3340000,Rural
2020,Savannah,3600,680,800000,Rural
2020,North East,3400,610,720000,Rural
2020,Upper East,4100,740,1250000,Rural
2020,Upper West,3700,650,900000,Rural
2020,Bono,5500,970,1400000,Urban
2020,Bono East,5100,910,1180000,Urban
2020,Ahafo,4600,840,1100000,Rural
2021,Greater Accra,16200,2800,5000000,Urban
2021,Ashanti,12800,2300,5600000,Urban
2021,Eastern,8200,1280,3020000,Urban
2021,Central,6900,1040,2660000,Urban
2021,Western,8000,1100,2650000,Urban
2021,Western North,4300,740,1070000,Rural
2021,Volta,6100,830,2340000,Rural
2021,Oti,3900,570,970000,Rural
2021,Northern,5900,960,3380000,Rural
2021,Savannah,3700,700,820000,Rural
2021,North East,3500,630,740000,Rural
2021,Upper East,4200,760,1270000,Rural
2021,Upper West,3800,660,920000,Rural
2021,Bono,5700,990,1420000,Urban
2021,Bono East,5200,930,1200000,Urban
2021,Ahafo,4700,860,1120000,Rural
2022,Greater Accra,16500,2850,5050000,Urban
2022,Ashanti,13200,2350,5650000,Urban
2022,Eastern,8400,1320,3060000,Urban
2022,Central,7100,1060,2700000,Urban
2022,Western,8200,1120,2680000,Urban
2022,Western North,4400,760,1090000,Rural
2022,Volta,6300,850,2360000,Rural
2022,Oti,4000,590,990000,Rural
2022,Northern,6100,980,3420000,Rural
2022,Savannah,3800,720,840000,Rural
2022,North East,3600,650,760000,Rural
2022,Upper East,4300,780,1290000,Rural
2022,Upper West,3900,670,940000,Rural
2022,Bono,5900,1010,1440000,Urban
2022,Bono East,5400,950,1220000,Urban
2022,Ahafo,4800,880,1140000,Rural
2023,Greater Accra,16800,2900,5100000,Urban
2023,Ashanti,13600,2400,5700000,Urban
2023,Eastern,8600,1350,3100000,Urban
2023,Central,7300,1080,2740000,Urban
2023,Western,8400,1150,2700000,Urban
2023,Western North,4500,780,1110000,Rural
2023,Volta,6500,870,2380000,Rural
2023,Oti,4100,610,1010000,Rural
2023,Northern,6300,1000,3460000,Rural
2023,Savannah,4000,740,860000,Rural
2023,North East,3700,670,780000,Rural
2023,Upper East,4400,800,1310000,Rural
2023,Upper West,4000,680,960000,Rural
2023,Bono,6100,1030,1460000,Urban
2023,Bono East,5600,970,1240000,Urban
2023,Ahafo,4900,900,1160000,Rural
2024,Greater Accra,17200,3000,5200000,Urban
2024,Ashanti,14000,2450,5750000,Urban
2024,Eastern,8800,1380,3140000,Urban
2024,Central,7500,1100,2780000,Urban
2024,Western,8600,1180,2720000,Urban
2024,Western North,4600,800,1130000,Rural
2024,Volta,6700,890,2400000,Rural
2024,Oti,4200,630,1030000,Rural
2024,Northern,6500,1020,3500000,Rural
2024,Savannah,4200,760,880000,Rural
2024,North East,3800,690,800000,Rural
2024,Upper East,4500,820,1330000,Rural
2024,Upper West,4100,700,980000,Rural
2024,Bono,6300,1050,1480000,Urban
2024,Bono East,5800,990,1260000,Urban
2024,Ahafo,5100,920,1180000,Rural
2025,Greater Accra,17500,3050,5250000,Urban
2025,Ashanti,14400,2500,5800000,Urban
2025,Eastern,9000,1410,3180000,Urban
2025,Central,7700,1120,2820000,Urban
2025,Western,8800,1200,2740000,Urban
2025,Western North,4700,820,1150000,Rural
2025,Volta,6900,910,2420000,Rural
2025,Oti,4300,650,1050000,Rural
2025,Northern,6700,1040,3540000,Rural
2025,Savannah,4400,780,900000,Rural
2025,North East,3900,710,820000,Rural
2025,Upper East,4600,840,1350000,Rural
2025,Upper West,4200,720,1000000,Rural
2025,Bono,6500,1070,1500000,Urban
2025,Bono East,6000,1010,1280000,Urban
2025,Ahafo,5300,940,1200000,Rural
